PLAYER,POS,BEST,WORST,AVG
Connor McDavid (EDM - C,F),C,1,2,1.8
Nathan MacKinnon (COL - C),C,1,5,2
Leon Draisaitl (EDM - C,LW),C,3,3,3
Auston Matthews (TOR - C,F),C,4,13,6
Alex Ovechkin (WSH - LW,F),W,5,8,6.2
Patrick Kane (CHI - RW,F),W,6,8,7.6
Sidney Crosby (PIT - C,F),C,7,16,12
Artemi Panarin (NYR - LW,F),W,4,40,12.6
Jack Eichel (BUF - C,F),C,7,30,13.2
Sebastian Aho (CAR - C),C,10,23,13.2
Mikko Rantanen (COL - RW,F),W,7,32,14.4
Andrei Vasilevskiy (TB - G),G,7,24,15.2
Brayden Point (TB - C,F),C,12,26,16.4
Mitchell Marner (TOR - RW,F),W,16,21,18.2
Elias Pettersson (VAN - C),C,11,42,19.2
Mika Zibanejad (NYR - C),C,15,31,19.8
Brad Marchand (BOS - LW,F),W,17,28,20.8
Andrei Svechnikov (CAR - LW,RW),W,14,30,21.2
Jonathan Huberdeau (FLA - LW,F),W,17,39,22.2
Evgeni Malkin (PIT - C,F),C,20,36,26
David Pastrnak (BOS - RW,F),W,14,56,26.2
Aleksander Barkov (FLA - C,F),C,21,41,28.2
John Tavares (TOR - C,F),C,23,40,29.2
John Carlson (WSH - D),D,17,68,29.6
Connor Hellebuyck (WPG - G),G,19,47,30.2
Cale Makar (COL - D),D,20,58,30.4
Mark Scheifele (WPG - C,F),C,26,40,32
Steven Stamkos (TB - C,F),C,25,45,33.8
Robin Lehner (VGK - G),G,25,53,34
Tuukka Rask (BOS - G),G,26,41,35.2
Mark Stone (VGK - RW,F),W,25,51,36
Patrice Bergeron (BOS - C,F),C,29,44,36.4
Matthew Tkachuk (CGY - LW,F),W,30,48,36.6
Victor Hedman (TB - D),D,9,113,36.8
Gabriel Landeskog (COL - C,LW),C,31,48,37.8
Taylor Hall (ARI - LW,F),W,28,48,39.2
Jake Guentzel (PIT - LW,RW),W,27,65,41.4
Johnny Gaudreau (CGY - LW,F),W,30,49,41.6
Blake Wheeler (WPG - RW,F),W,33,55,43.4
Igor Shesterkin (NYR - G),G,36,65,48.6
Brent Burns (SJ - D),D,35,63,50.6
Roman Josi (NSH - D),D,15,133,51
Carey Price (MTL - G),G,39,75,51.8
Morgan Rielly (TOR - D),D,45,66,51.8
Philipp Grubauer (COL - G),G,43,78,53
Carter Hart (PHI - G),G,27,109,53.8
Jordan Binnington (STL - G),G,44,64,54
Frederik Andersen (TOR - G),G,45,69,55.4
Teuvo Teravainen (CAR - LW,RW,F),W,35,92,57.4
Evgeny Kuznetsov (WSH - C,F),C,53,73,59.8
Claude Giroux (PHI - LW,C,RW),W,37,83,60.4
